price,superficie,bains,chambres
170000.0,54.0,1,1
335000.0,118.0,2,2
260000.0,140.0,1,3
125000.0,80.0,1,1
280000.0,61.0,1,3
880000.0,443.0,4,8
1100000.0,350.0,2,4
540000.0,345.0,1,4
890000.0,400.0,5,9
1600000.0,575.0,3,5
890000.0,500.0,3,4
375000.0,122.0,1,2
680000.0,227.0,2,4
290000.0,143.0,1,3
260000.0,110.0,1,2
175000.0,97.0,1,2
1560000.0,312.0,3,3
180000.0,256.0,1,2
320000.0,104.0,1,2
109000.0,62.0,1,2
499000.0,90.0,3,6
450000.0,120.0,2,3
235000.0,71.0,1,3
392200.0,106.0,1,2
950000.0,420.0,4,4
350000.0,93.0,1,2
277000.0,68.0,1,1
760000.0,500.0,3,4
260000.0,120.0,2,2
700000.0,378.0,1,6
700000.0,480.0,3,3
375000.0,110.0,1,0
270000.0,122.0,1,3
264993.0,90.0,0,2
320000.0,110.0,2,2
650000.0,230.0,2,4
92000.0,77.0,1,2
670000.0,550.0,1,3
510000.0,395.0,2,3
185000.0,100.0,1,2
240000.0,68.0,1,1
260000.0,64.0,1,1
400000.0,98.0,2,1
520000.0,420.0,2,3
1200000.0,570.0,6,4
300000.0,190.0,1,2
420000.0,290.0,2,2
440000.0,390.0,2,2
330000.0,104.0,2,3
460000.0,155.0,0,4
145000.0,129.0,1,4
320000.0,500.0,2,4
280000.0,118.0,1,4
320000.0,180.0,1,5
133000.0,63.0,1,1
225000.0,144.0,2,3
950000.0,579.0,3,7
208700.0,72.0,1,1
250000.0,373.0,2,0
250000.0,240.0,1,2
460000.0,170.0,2,4
650000.0,457.0,3,4
268000.0,66.0,1,1
330000.0,200.0,1,3
400000.0,130.0,2,3
169999.0,100.0,1,2
150000.0,78.0,2,2
690000.0,300.0,2,4
376000.0,102.0,0,2
474999.0,256.0,2,4
470000.0,200.0,2,1
510000.0,363.0,2,3
449998.0,136.0,2,4
245000.0,65.0,1,1
430000.0,112.0,2,2
500000.0,110.0,2,2
570000.0,409.0,0,4
350000.0,91.0,1,2
210000.0,53.5,1,-1
440000.0,426.0,1,2
340000.0,136.0,2,3
75000.0,100.0,1,3
1300000.0,375.0,4,10
120000.0,70.0,1,2
260000.0,103.0,1,2
850000.0,480.0,3,13
270000.0,156.0,1,2
120000.0,195.0,0,3
220000.0,274.0,2,3
375000.0,484.0,2,2
365000.0,155.0,3,3
320000.0,150.0,2,3
120000.0,56.0,1,1
150000.0,85.0,1,2
190000.0,54.0,1,1
175000.0,66.0,0,1
225000.0,100.0,1,3
870000.0,170.0,3,5
450000.0,300.0,1,3
180000.0,110.0,0,3
490000.0,190.0,1,4
235000.0,170.0,1,4
590000.0,180.0,3,3
650000.0,498.0,2,7
155000.0,100.0,1,4
270000.0,90.0,1,3
540000.0,184.0,1,3
300000.0,160.0,2,3
1400000.0,250.0,4,4
190000.0,117.0,1,-1
272000.0,147.0,2,3
165000.0,100.0,1,3
1050000.0,400.0,3,4
295000.0,84.0,1,1
900000.0,300.0,4,4
235000.0,100.0,2,2
475000.0,127.0,1,2
225000.0,100.0,1,2
600000.0,337.0,1,2
210000.0,45.0,1,1
320000.0,120.0,2,3
405000.0,109.0,1,2
490000.0,400.0,4,7
210000.0,122.0,0,2
270000.0,95.0,0,3
325000.0,85.0,1,2
225000.0,80.0,1,1
270000.0,120.0,2,2
400000.0,137.0,1,3
220000.0,90.0,1,3
295000.0,110.0,0,2
309998.0,70.0,1,2
700000.0,300.0,3,2
530000.0,100.0,2,2
320000.0,434.0,2,4
150000.0,70.0,0,1
95000.0,80.0,1,2
299000.0,100.0,2,3
820000.0,337.0,4,4
559998.0,135.0,1,2
